url,title,h1,meta_description,canonical,image_count,page_json,page_type
https://oakfarm.vn/project/,Dự án - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project/,12,/Users/bephi/data/oakfarm_full_output/pages/project.json,projects
https://oakfarm.vn/project/farm-together/,Farm Together - Oak Farm,Giới thiệu về chúng tôi,Một dự án với view tuyệt đẹp nằm ven sông Đồng Nai. Đây cũng là một trong những đầy tâm huyết của nhà OAK FARM,https://oakfarm.vn/project/farm-together/,15,/Users/bephi/data/oakfarm_full_output/pages/project__farm-together.json,projects
https://oakfarm.vn/project/doi-de-trang/,Đồi Dê Trắng - Oak Farm,Giới thiệu về chúng tôi,Với quy mô diện tích lên đến 15ha - Dự án là một sự kết hợp giữa du lịch nông nghiệp và kinh doanh lưu trú với rất nhiều hạng mục hấp dẫn.,https://oakfarm.vn/project/doi-de-trang/,11,/Users/bephi/data/oakfarm_full_output/pages/project__doi-de-trang.json,projects
https://oakfarm.vn/project/hoa-phu-villa/,Hoa Phu Villa - Oak Farm,Giới thiệu về chúng tôi,,https://oakfarm.vn/project/hoa-phu-villa/,19,/Users/bephi/data/oakfarm_full_output/pages/project__hoa-phu-villa.json,projects
https://oakfarm.vn/project/an-binh-farm/,An Bình Farm - Oak Farm,Giới thiệu về chúng tôi,"Dự án cải tạo và nâng cấp một ""khu vườn' đã lâu đời tại Hàm Tân - Bình Thuận",https://oakfarm.vn/project/an-binh-farm/,16,/Users/bephi/data/oakfarm_full_output/pages/project__an-binh-farm.json,projects
https://oakfarm.vn/project/happy-life/,Happy Life - Oak Farm,Giới thiệu về chúng tôi,"HAPPY LIFE tại Gia Nghĩa - Đăk Nông. Dự án là một sự kết hợp của nhiều hạng mục từ checkin, tham quan, vui chơi và lưu trú.",https://oakfarm.vn/project/happy-life/,16,/Users/bephi/data/oakfarm_full_output/pages/project__happy-life.json,projects
https://oakfarm.vn/project/haly-farm/,Haly Farm - Oak Farm,Giới thiệu về chúng tôi,"Dự án tâm huyết của nhà Oak Farm, cùng với vốn hiểu biết rộng về các loài hoa của CĐT đã mang đến một khu vườn check in siêu đẹp tại Đà Nẵng.",https://oakfarm.vn/project/haly-farm/,15,/Users/bephi/data/oakfarm_full_output/pages/project__haly-farm.json,projects
https://oakfarm.vn/project/lang-van-hoa-cong-dong-thon-trlee/,Làng văn hóa cộng đồng thôn Tr’Lêê - Oak Farm,Giới thiệu về chúng tôi,Một dự án tâm huyết và đầy tự hào của nhà Oak. Với sứ mệnh mang du lịch trải nghiệm về biên giới dọc dãy Trường Sơn.,https://oakfarm.vn/project/lang-van-hoa-cong-dong-thon-trlee/,13,/Users/bephi/data/oakfarm_full_output/pages/project__lang-van-hoa-cong-dong-thon-trlee.json,projects
https://oakfarm.vn/project/hien-garden/,Hien Garden - Oak Farm,Giới thiệu về chúng tôi,"Farmhome ở Nha Trang, với diện tích vừa phải 2000m2, phù hợp với định hướng sử dụng làm nơi nghỉ dưỡng cuối tuần cho gia đình.",https://oakfarm.vn/project/hien-garden/,14,/Users/bephi/data/oakfarm_full_output/pages/project__hien-garden.json,projects
https://oakfarm.vn/project/dai-farm/,DAI Farm - Oak Farm,Giới thiệu về chúng tôi,"Quy hoạch mặt bằng tổng thể và định hướng thiết kế chuyên sâu một Farmstay nghỉ dưỡng cao cấp quy mô 2,5ha tại Pleiku - Gia Lai.",https://oakfarm.vn/project/dai-farm/,13,/Users/bephi/data/oakfarm_full_output/pages/project__dai-farm.json,projects
